image;id;Auteur;Nationalite;Titre;Date_de_creation;Image;Couleur
;181;Lili REYNAUD DEWAR;francaise;In Every Room There is the / a Ghost of Sex. Public Creativity;2008;image181.jpg;106,91,83
;182;Lili REYNAUD DEWAR;francaise;In Every Room There is the / a Ghost of Sex. A Furniture Project For an Exhibition at the Moma;2008;image182.jpg;83,89,90
;183;Lili REYNAUD DEWAR;francaise;In Every Room There is the / a Ghost of Sex. My Experience with Ceramics;2008;image183.jpg;83,86,81
;184;Lili REYNAUD DEWAR;francaise;In Every Room There is the / a Ghost of Sex. Environment;2008;image184.jpg;107,91,83
;185;Lili REYNAUD DEWAR;francaise;In Every Room There is the / a Ghost of Sex. Let's speak of magic;2008;image185.jpg;82,86,81
;186;Lili REYNAUD DEWAR;francaise;In Every Room There is the / a Ghost of Sex. They Say I'm Bad;2008;image186.jpg;82,84,79
;187;Lili REYNAUD DEWAR;francaise;Love = U.F.O.;2008;image187.jpg;68,44,44
;188;Lili REYNAUD DEWAR;francaise;The Race La Razza La Corsa. The Race;2008;image188.jpg;238,236,238
;189;Lili REYNAUD DEWAR;francaise;The Race La Razza La Corsa. La Razza;2008;image189.jpg;44,36,44
;190;Lili REYNAUD DEWAR;francaise;The Race La Razza La Corsa. La Corsa;2008;image190.jpg;236,234,235
;191;Lili REYNAUD DEWAR;francaise;Black Mariah;2010;image191.jpg;28,28,28
;192;Lili REYNAUD DEWAR;francaise;Interpretation;2010;image192.jpg;225,222,222
;193;Lili REYNAUD DEWAR;francaise;Ceci est ma maison / This is my place;2012;image193.jpg;187,176,159
;194;Jeanne RISS;;Affiche Strasbourg historique, exposition au château des Rohan;s.d.;image194.jpg;160,153,140
;195;Jeanne RISS;;Affiche Kunst Ausstellung, Château des Rohan;1912;image195.jpg;154,131,90
;196;Claudia ROETHLISBERGER;;Affiche 20ème festival international de l'affiche et du graphisme de Chaumont 16 mai - 14 juin 2009. Affiche Pomme rose;2009;image196.JPG;55,54,58
;197;Claudia ROETHLISBERGER;;Affiche;2009;image197.jpg;70,74,80
;198;Claudia ROETHLISBERGER;;Affiche;2009;image198.jpg;70,74,80
;199;Claudia ROETHLISBERGER;;Affiche;2009;image199.jpg;70,74,80
;200;Graciela SACCO;argentine;Affiche Bocanada;1994;image200.jpg;198,177,164
;201;Graciela SACCO;argentine;Affiche Bocanada;1994;image201.jpg;209,194,182
;202;Graciela SACCO;argentine;Affiche Bocanada;1994;image202.jpg;187,170,161
;203;Graciela SACCO;argentine;Affiche Bocanada;1994;image203.jpg;203,183,173
;204;Graciela SACCO;argentine;Affiche Bocanada;1994;image204.jpg;44,17,11
;205;Graciela SACCO;argentine;Affiche Bocanada;1994;image205.jpg;204,188,178
;206;Graciela SACCO;argentine;Affiche Bocanada;1994;image206.jpg;41,15,10
;207;Graciela SACCO;argentine;Affiche Bocanada;1994;image207.jpg;34,12,8
;208;Graciela SACCO;argentine;Affiche Bocanada;1994;image208.jpg;200,180,164
;209;Graciela SACCO;argentine;Affiche Bocanada;1994;image209.jpg;54,25,12
;210;Graciela SACCO;argentine;Affiche Bocanada;1994;image210.jpg;23,7,5
;211;Graciela SACCO;argentine;Affiche Bocanada;1994;image211.jpg;207,194,186
;212;Bettina SAMSON;francaise;Southern Gothic;2016;image212.jpg;49,59,47
;213;Lisa SARTORIO;;Affiche X Puissance X;2012;image213.jpg;122,89,82
;214;Lisa SARTORIO;;Affiche X Puissance X;2012;image214.jpg;109,102,82
;215;Rosmarie TISSI;suisse;Images internationales pour les droits de l'homme et du citoyen;1988;image215.jpg;170,74,55
;216;Sylvia TOURNERIE;francaise;Affiche pour la fête de la musique;2010;image216.JPG;46,29,41
;217;Sylvia TOURNERIE;francaise;Affiche pour la fête de la musique;2010;image217.JPG;221,222,228
;218;Sylvia TOURNERIE;francaise;Affiche pour la fête de la musique;2010;image218.JPG;192,68,43
;219;Sylvia TOURNERIE;francaise;Affiche pour la fête de la musique;2010;image219.JPG;188,52,33
;220;Sylvia TOURNERIE;francaise;Affiche pour la fête de la musique;2010;image220.JPG;207,204,197
;221;Sylvia TOURNERIE;francaise;Affiche de la Saison Graphique;2017;image221.jpg;67,66,71
;222;Céline VACHÉ-OLIVIERI;francaise;End of Peonies;2015;image222.jpg;52,25,25
;223;Fabienne VERDIER (Fabienne BAIZEAU, dite);francaise;Etude d'une affiche pour le Festival d'Avignon;1998;image223.jpg;46,46,47
;224;Vanessa VÉRILLON;francaise;Affiche 20ème festival international de l'affiche et du graphisme de Chaumont 16 mai - 14 juin 2009. Affiche Portrait;2009;image224.JPG;205,177,214
;225;Vanessa VÉRILLON;francaise;Affiche;2009;image225.jpg;162,153,251
;226;Vanessa VÉRILLON;francaise;Affiche;2009;image226.jpg;162,153,251
;227;Vanessa VÉRILLON;francaise;Affiche;2009;image227.jpg;162,153,251
;228;Marijke van WARMERDAM;neerlandaise;sunday # 013. Gestreken en gevouwen;2011;image228.jpg;224,218,213
;229;Nil YALTER;francaise;Affiche C'est un dur métier que l'exil;2010;image229.jpg;207,205,204
;230;Catherine ZASK;francaise;Affiche Signes;1995;image230.JPG;224,224,224
;231;Catherine ZASK;francaise;Affiche Impression Expression;1997;image231.JPG;32,32,31
;232;Catherine ZASK;francaise;Affiche Tête d'or;2001;image232.jpg;201,147,118
;233;Catherine ZASK;francaise;Affiche La radio dans le noir;2008;image233.JPG;218,218,219
;234;Catherine ZASK;francaise;Affiche La radio dans le noir (blanc);2008;image234.JPG;213,213,212
;235;Catherine ZASK;francaise;Affiche La radio dans le noir (blanc);2008;image235.JPG;223,223,224
;236;Catherine ZASK;francaise;Affiche Hearth;2010;image236.JPG;66,49,72
