image;id;Auteur;Nationalite;Titre;Date_de_creation
;199;Claudia ROETHLISBERGER;;Affiche;2009
;200;Graciela SACCO;argentine;Affiche Bocanada;1994
;201;Graciela SACCO;argentine;Affiche Bocanada;1994
;202;Graciela SACCO;argentine;Affiche Bocanada;1994
;203;Graciela SACCO;argentine;Affiche Bocanada;1994
;204;Graciela SACCO;argentine;Affiche Bocanada;1994
;205;Graciela SACCO;argentine;Affiche Bocanada;1994
;206;Graciela SACCO;argentine;Affiche Bocanada;1994
;207;Graciela SACCO;argentine;Affiche Bocanada;1994
;208;Graciela SACCO;argentine;Affiche Bocanada;1994
;209;Graciela SACCO;argentine;Affiche Bocanada;1994
;210;Graciela SACCO;argentine;Affiche Bocanada;1994
;211;Graciela SACCO;argentine;Affiche Bocanada;1994
;212;Bettina SAMSON;francaise;Southern Gothic;2016
;213;Lisa SARTORIO;;Affiche X Puissance X;2012
;214;Lisa SARTORIO;;Affiche X Puissance X;2012
;215;Rosmarie TISSI;suisse;Images internationales pour les droits de l'homme et du citoyen;1988
;216;Sylvia TOURNERIE;francaise;Affiche pour la fête de la musique;2010
;217;Sylvia TOURNERIE;francaise;Affiche pour la fête de la musique;2010
;218;Sylvia TOURNERIE;francaise;Affiche pour la fête de la musique;2010
;219;Sylvia TOURNERIE;francaise;Affiche pour la fête de la musique;2010
;220;Sylvia TOURNERIE;francaise;Affiche pour la fête de la musique;2010
;221;Sylvia TOURNERIE;francaise;Affiche de la Saison Graphique;2017
;222;Céline VACHÉ-OLIVIERI;francaise;End of Peonies;2015
;223;Fabienne VERDIER (Fabienne BAIZEAU, dite);francaise;Etude d'une affiche pour le Festival d'Avignon;1998
;224;Vanessa VÉRILLON;francaise;Affiche 20ème festival international de l'affiche et du graphisme de Chaumont 16 mai - 14 juin 2009. Affiche Portrait;2009
;225;Vanessa VÉRILLON;francaise;Affiche;2009
;226;Vanessa VÉRILLON;francaise;Affiche;2009
;227;Vanessa VÉRILLON;francaise;Affiche;2009
;228;Marijke van WARMERDAM;neerlandaise;sunday # 013. Gestreken en gevouwen;2011
;229;Nil YALTER;francaise;Affiche C'est un dur métier que l'exil;2010
;230;Catherine ZASK;francaise;Affiche Signes;1995
;231;Catherine ZASK;francaise;Affiche Impression Expression;1997
;232;Catherine ZASK;francaise;Affiche Tête d'or;2001
;233;Catherine ZASK;francaise;Affiche La radio dans le noir;2008
;234;Catherine ZASK;francaise;Affiche La radio dans le noir (blanc);2008
;235;Catherine ZASK;francaise;Affiche La radio dans le noir (blanc);2008
;236;Catherine ZASK;francaise;Affiche Hearth;2010
